SYMBOL,27-Nov-20,30-Oct-20,30-Sep-20,31-Aug-20,31-Jul-20,30-Jun-20,29-May-20,30-Apr-20,31-Mar-20,28-Feb-20,31-Jan-20
BYKE,143.21,321.4,13.4,1.05,2.1,100.55,76.8,87.9,222,70.7,246.95
CADILAHC,197.6,13.4,395.05,101.6,365.4,3.5,320.2,1.6,122.9,143.7,192.8
CALSOFT,1.6,13.5,8,25.25,293.35,337.85,63.3,320.1,327.35,1.65,287.85
CAMLINFINE,415.95,417.7,114.75,4756.75,93.45,288.05,222.5,241.85,0.3,500.05,143.8
CANBK,14.5,9.65,88.85,123.55,431.95,111.8,157.55,87,99.45,304.75,333.75
CANDC,14.15,96.6,2.2,6.71,68.95,312.4,402.3,351.45,0.25,159.4,118.65
CANFINHOME,450.1,1296.85,415.75,160.55,248.1,82.65,0.35,65.1,1.8,299.1,655.2
CANTABIL,19.35,86.2,324.35,1.4,138.2,278.35,115.55,221.25,177.4,96.95,0.3
CAPACITE,9.15,2.4,118.35,192,423.65,138.9,2.15,163.7,214.4,325.25,135.05
CAPLIPOINT,115.4,457.25,553.65,16,113.45,419.45,212.2,368.75,792.95,142.4,3.05
CAPTRUST,1445.15,327.1,58.2,14.95,0.25,125.7,247.1,0.45,7.95,476.15,225.85
CARBORUNIV,103.8,135.35,269.25,371.25,2.85,3.55,809.95,129.7,3.8,0.4,265.35
CAREERP,3.45,497.45,171.15,14.05,234.35,234.6,8.4,2.6,119,146.7,1004.15
CARERATING,481.95,57.95,349.4,91.4,349.1,270.7,4,194.05,1.7,2.55,14.85
CASTEXTECH,340.75,284.2,0.25,107.5,868.95,914.4,130.5,225.3,12.25,234.4,6.05
CASTROLIND,183.2,166.55,109.35,2.7,11.95,12.75,2.25,804.05,9.05,265,2.7
CCHHL,489.65,298.4,2.85,371.2,4.2,5.1,13.4,8.25,252.85,1021.2,193.1
CCL,67.9,0.4,265.6,301.6,163.2,175.45,11.4,5.05,110.95,13.6,2.95
CDSL,346.95,114,482.55,126.85,4,5.2,235.65,133.6,296.1,4.75,18
CEATLTD,164.5,0.3,999.2,510.45,17.95,17.95,101.7,2.55,2311.45,2,23.85
CEBBCO,501.8,3,15.45,66.5,13.65,18.15,285.6,15.65,17.55,159.7,398.9
CELEBRITY,0.45,240.9,4.5,269.55,316.6,297.55,2323.6,10.8,408.55,2.4,170.7
CENTENKA,125.4,483.15,172.4,145.95,128.45,118.1,32.05,252.55,117.95,15.6,644.2
CENTEXT,0.3,1093.1,3.35,397.35,307.95,294.5,552.35,121.7,170.8,18.7,2709.25
CENTRALBK,3.45,13.55,14.3,0.4,2228.85,2210.25,129.6,292.05,5.05,323.75,34.25
CENTRUM,266.25,4.55,16.4,119.9,27.45,28.15,145.1,2200.75,205.15,156.8,710.25
CENTUM,489.7,179.15,303.8,0.4,549.55,622,6,25.8,108.45,506.75,341.1
CENTURYPLY,1148.35,3.4,162.3,3.3,167.5,178.6,100.4,656,146.8,2492.25,193.9
CENTURYTEX,14.7,11,331.55,246.5,204,168.3,129.8,135.45,101.2,37.05,9.6
CERA,4.75,15.9,2325.4,406.65,9.3,8.55,137.35,150.9,60.55,646.95,329.9
CEREBRAINT,197.15,274.9,28.85,878.2,127.9,131.2,123.45,7.95,152.85,274.6,180.95
CESC,3.8,172.6,614,16.25,158.25,141.95,54.75,147.8,290,206.25,225.55
CESCVENT,12.7,305.7,228.2,4.75,146.75,142.9,141.7,129.5,0.5,7,179.9
CGCL,18.15,2651.25,235.65,169.8,130.3,129.7,245.35,153,189.05,328.5,124.7
CGPOWER,312.3,28.1,23.95,3.95,79.7,77.6,0.55,139.95,10.4,140.9,327.55
CHALET,200.25,563,138.35,17.7,202.5,189.4,298.45,62.45,18.75,189.75,547.05
CHAMBLFERT,351.85,220.95,157.8,16.05,331.6,295.3,13.95,159.45,4.9,167.8,0.5
CHEMBOND,3124.5,248.2,153.05,332.8,1.05,0.95,19.2,297,422.85,101.2,270.65
CHEMFAB,27.65,31.4,137.65,149.15,269.55,272.8,5.1,0.6,0.3,306.5,21.7
CHENNPETRO,581.4,136.4,68.95,333.4,19.15,16.6,648.15,260.8,31.15,513,37.55
CHOLAFIN,254.6,162.6,249.15,2459.35,23.9,23.9,0.45,15.3,227.3,0.45,7.25
CHOLAHLDNG,291.5,152,393.7,29.15,5.05,7,38.45,21.55,19.95,258.4,446.9
CHROMATIC,41.2,411.6,0.75,600.45,720.15,640.25,345.55,5.05,140.05,17.6,0.4
CIGNITITEC,150.85,130.6,414.75,242.45,0.8,1.25,22,589.6,266.35,28.05,72.1
CIMMCO,203.85,77,20.9,218.65,37.8,3.9,5.8,0.55,1252.7,5.6,403
CINELINE,159.35,273.25,27.2,22.4,376.7,38.7,141.3,36.85,8,402.1,45.8
CINEVISTA,418.3,387.25,5.8,156.3,32.85,405.75,224.85,339.7,3.6,0.35,7.35
CIPLA,133.45,0.65,774.7,148.4,2.85,35.05,1391.5,24.7,331.65,5.65,7.3
CKPLEISURE,85.5,458,3.25,150.95,5.35,3.65,9.2,5.2,14.75,59.1,181.7
CLEDUCATE,388.7,25.5,72.15,144.5,129.25,8.1,8.15,148.5,22.4,349.35,379.15
CLNINDIA,541.2,5.95,331.6,80.35,328.85,132.85,376.1,247.75,186.25,29.4,32
CMICABLES,0.65,754.5,33.8,232.2,1423.3,300.3,17.8,1459.1,12.95,5.35,1328.55
CMMIPL,421.2,65.8,2.8,436.65,10.65,1406.7,27.25,10.3,24.5,168.4,15.1
CNOVAPETRO,33.65,294.5,6,0.95,7.45,13.05,196.15,6.6,546.2,338.8,7.1
COALINDIA,7.15,33.8,116,295.1,451.1,8.95,13.75,373.05,208.05,1285.4,567
COCHINSHIP,745.6,2.6,336.55,24.5,18.75,417.9,30,20.45,0.75,13.45,27
COFORGE,61.7,6.2,2322.2,29.45,27.65,19.4,644.3,25.5,0.55,5,35.95
COLPAL,368.2,114.2,1433.5,6.4,6.1,30.3,272.4,13,16.06,509.65,81.6
COMPINFO,32.35,338.9,16.3,713.55,209.8,10.25,1,195.35,77.95,24.3,264.35
COMPUSOFT,2.5,2205.65,7.8,0.65,18.05,198.95,0.8,13.2,1.5,33.2,10.4
CONCOR,6.3,1516.7,364.95,44.95,32.85,29.9,17.22,33.15,337.35,274.65,49.95
CONFIPET,125.55,13.5,21.3,371.15,780.1,37.9,73.35,594.25,52.4,13.9,631.85
CONSOFINVT,369.25,7.25,31.4,39.95,415.25,755.75,1.3,262.6,1254.3,42.05,23.45
CONTROLPR,2400.65,390.9,232.95,3.5,1.3,313.15,389.15,1.1,208.8,615.5,268.3
CORALFINAC,1513.7,26.65,20.95,7.95,1.55,1.7,56.8,1.15,42,16.7,1.6
CORDSCABLE,12.7,34.1,38.4,134.35,17.3,1.8,1386.25,17.25,118.05,305.9,0.95
COROMANDEL,7.05,216.75,772.85,332.55,90.15,17.68,224.35,84.4,13.95,1.5,20.68
COSMOFILMS,406.05,19.05,409.65,1924,1.65,76.05,122.95,1.25,129.05,0.8,100.45
COUNCODOS,27.7,40.2,1.1,1363.25,514,522.25,15.9,492,8.55,18.77,1.6
COX&KINGS,37.4,726.55,1.35,12.45,63.85,67.7,135.6,52.8,326.7,124.95,800.75
CPSEETF,215.7,458.65,16.43,8.45,1673.8,1618.85,10.4,1465.8,141.1,1.45,103.35
CREATIVE,19.8,3.15,119.2,393,244.1,238.65,376.35,222.2,28.5,841.9,1702.65
CREATIVEYE,42.35,1.3,3.7,19.85,190.75,187.15,165.1,120.5,229.3,96.2,284.45
CREDITACC,828.35,16.35,742.85,35.4,15.6,22.05,34.2,17.2,19.95,1519.1,183.95
CREST,442.25,134.6,81.65,7.25,121.2,121.3,199.05,144.35,450.05,279,25.35
CRISIL,2.45,3,1780.3,223.75,11,11.5,26.25,11.4,490.6,172.4,231.25
CROMPTON,1.45,647.95,292.35,21,401.65,392.35,466.45,377.5,48.3,16.2,13.4
CSBBANK,18.79,81.85,226.35,40.9,207.55,207.55,554.85,177.8,18,215.25,574.55
CTE,116.25,2064.8,24.1,760.05,47.75,41.7,67.15,33.05,41.05,18.75,220.05
CUB,2.75,299.3,139.75,388.9,330,275.8,18.5,228.35,79.6,510.95,1.75
CUBEXTUB,791.1,231.3,11.05,1.35,52.3,41.6,47.5,21.85,211.05,177.55,45.8
CUMMINSIND,96.5,29.3,445.2,1.55,513.55,465.95,62.9,489.3,5.05,2.2,490.95
CUPID,1975.2,147.7,216.6,18.57,760.65,673.3,260.45,521.65,7,41.55,26.7
CYBERTECH,305.3,11.25,60.5,125.35,123.85,109.15,6.5,61.2,53.35,424.55,495.75
CYIENT,250.5,434.1,383.5,1.95,24,24.8,64.55,20.1,94.8,23.9,873.55
DAAWAT,32.65,208.55,54.15,717.75,51.9,47.2,61.95,48.45,13.4,496.1,114.7
DABUR,186.05,76.95,510.55,82.1,72.95,74.1,17.55,75.05,0.4,782.1,29.7
DALBHARAT,20.15,394.3,781.45,1750.65,279.5,272.8,22.4,259.8,23.9,91.9,77.15
DALMIASUG,586,53.15,128.65,271.8,6.65,7.35,278.65,4.2,215.2,24.35,137.8
DAMODARIND,227.7,511.45,24,213.85,8.95,10.3,10.2,7.85,7.25,129,408.85
DATAMATICS,78.5,842.85,76.05,23.8,196.45,121.75,242.05,83.7,196.15,60.5,10
DBCORP,489.15,130.45,77.95,135,77.4,75.7,102.7,80.6,75.15,110.55,9.55
DBL,52.4,22.85,335.55,11.65,18.9,18.7,498.1,20.8,385.05,299.2,74.95
DBREALTY,499.8,72.65,6.55,462.25,1.55,0.95,65.3,25.55,53.3,7.6,178.35
DBSTOCKBRO,1101.7,73.85,8.75,218.2,26.1,28.95,85.1,275,65.25,77.05,45.45
DCAL,137.5,327.15,156.9,50,339.25,317.35,18.4,10.45,65.35,161.8,21.4
DCBBANK,25.1,6.75,78.3,388.3,10.85,12.45,50.2,203.5,27,45.2,35.45
DCM,119,8.65,19.9,56.05,254.25,257.75,172.25,104.4,30.3,19.85,371.05
DCMFINSERV,77.5,151.7,1.1,474.6,159.6,118.55,211.15,506.15,133.8,30.8,15.3
DCMNVL,80.85,76.85,25.75,749.75,643.15,475.05,5.05,64.85,174.65,328.5,318.5
DCMSHRIRAM,355.75,17.85,363.5,131.1,69.4,72.6,99.55,68.95,4.2,13.35,111.3
DCW,14.05,1.1,15.1,24.95,86,86.8,9.95,20.2,82.35,270.55,383.6
DECCANCE,10.5,25,285.6,68.35,20.95,28.3,575.8,54.15,8.05,85.8,111.65
DEEPAK-RE,144.75,339.65,17,78.8,78.3,75.25,4.4,165.8,325.2,461.9,179.95
DEEPAKFERT,107.65,15.05,152.45,369.45,231.5,223,11.75,57.05,6.05,78.25,37.5
DEEPAKNTR,18.9,315.5,821.2,7.05,100,76,228,211.5,8.65,134.45,50.9
DEEPENR,1,147.35,67.45,10.5,181.6,180.75,240,4.65,190,28.15,222.6
DELTACORP,28.25,742.25,110.55,176.2,5.3,6.4,234.99,100.05,170,48.25,75.55
DELTAMAGNT,370.75,61.75,19.35,89.05,126.4,132.6,213,10.1,200,222.3,308.5
DEN,16.9,118.1,71.7,22.05,12.65,14.55,225.6,447.15,172.8,94,5.6
DENORA,344.65,19.15,215.6,1.3,792,707.5,162.6,13.05,200,276.05,204.95
DEVIT,144.65,71.05,128,27.15,13.6,15.65,486,214,122.35,4.85,15
DFMFOODS,865.1,199.2,342.2,361.05,271.8,225.85,0.6,230,497.2,160.6,514.65
DGCONTENT,44.2,126.75,14.15,13.8,285.8,230,307.35,221.2,0.35,13.5,7.5
DHAMPURSUG,129.6,339.65,140.55,285.8,300,250,7.4,216.75,271.35,469.25,12.95
DHANBANK,25.4,10.8,12.3,168,302.74,220,1.55,245.78,2.9,6.15,200
DHANILOANS,69.95,143.05,1124.99,683.45,315,234.94,4.25,212.02,0.85,14.2,196.89
DHANILOANS,208,11.85,958,73.75,291.66,224.99,2390.1,220,4.05,238,243.98
DHANILOANS,127,196.75,975,110.45,299.38,162.8,4875.8,217.8,1989.05,240.1,210
DHANILOANS,362.4,1014.01,906,20.6,322,608.9,150.65,238.99,3579.85,223,233.2
DHANUKA,11.15,1145,751.25,76,319.8,1.1,79.6,212,135,235.12,807.8
DHARSUGAR,158.5,965,4.3,216.3,285,333.3,2269.35,171.1,137.45,240,0.65
DHFL,12.35,990,12.85,107,202.5,7.8,0.4,477.6,61,250,340.6
DHFL,281.75,95.35,271.41,291.15,530.95,3.45,40.8,0.75,2187.5,220,5.35
DHFL,1049.41,736.4,300,9.05,342.05,7.75,112.65,300.45,0.3,200.95,1
DHFL,1146.36,4.4,370.4,144.1,5.35,2278.9,24.25,4.3,35.25,715.2,13
DHFL,976.49,15.9,293.11,14,2.4,5758.9,7.4,1.15,109.6,0.35,1952.3
DHFL,991,307,238.56,781.1,7.2,148.05,67.55,4.85,20.85,404.45,4654.25
DHFL,1099.95,315.5,273.18,4.9,2616.55,82.65,1.05,2332.9,6.15,4.95,260.45
DHFL,1025,335,257.88,14.15,7633.7,2317.15,225.1,4571.4,51.8,1.05,114.3
DHUNINV,975,338.85,212.75,251.8,141.15,49.05,4071.25,146.85,1,8.25,2133.95
DIAMONDYD,987.95,305,603.1,309.18,85.6,131.9,75,76.9,145.45,2106.95,0.4
DIAPOWER,875,315,0.75,306.8,2063.45,28.7,16.15,2383.65,3120.75,3828.05,54.85
DICIND,135.3,320,385.9,300,0.55,57.9,143.1,0.45,75.05,201.7,146.75
DIGISPICE,751.05,312,7.55,290,47.5,8.85,3.65,43.05,4.5,94.75,29.75
DIGJAMLTD,4.55,241.7,2.8,259.11,125.75,55.45,50.95,131.3,14.95,2323.95,61
DISHTV,27.05,598.05,13.55,221.75,26.6,1.95,17.8,27.75,111.9,0.35,8.1
DIVISLAB,275,0.8,3047.95,606.15,63.5,252.05,503.15,8,2.45,52.4,90
DIXON,320,367.25,8762.05,0.8,12.1,3944.95,111.6,62,46.35,173,1.05
DLF,317,6.95,152.65,388.1,52.2,70.95,17.95,1.45,16.55,27.5,327.45
DLINKINDIA,300,2.85,103.8,8.95,1,25.1,0.7,228.5,463.55,64.15,3114.5
DMART,309,11.35,2203.15,2.85,259.9,159.3,1.7,3936.3,115.45,8.4,5.4
DNAMEDIA,281.8,3142.05,0.55,11.1,4521.05,4.8,1053.53,4.1,0.7,75,25.3
DOLAT,300,9299.3,50.6,3122.8,74.15,63.85,1069.47,17.7,1.7,1.2,180.1
DOLLAR,279,158.3,138.2,8094.95,5.3,25.25,406.1,152.15,1024.12,281.85,5.1
DONEAR,246.55,98.2,25.7,158.35,22.9,606.4,396.5,2.85,1041.38,2927.1,69.6
DPABHUSHAN,648.85,2239.9,91.75,113.4,167,142.4,1030,55.7,369.95,6.9,37.65
DPSCLTD,0.65,0.4,13.85,2251.25,3.7,1.2,902.7,18.2,365.4,21.8,973.5
DPWIRES,371.95,46,59.95,0.55,48.6,2.7,810.88,552,801,148.45,155.7
DQE,10.25,135.45,1.25,53.2,24.15,1070.97,810,114.55,897,4.8,21.35
DREDGECORP,2.9,23.7,260.55,143.95,530.8,1090.22,708,0.65,899,58.6,1.1
DRREDDY,10.2,129.45,5187.8,27.85,200.35,428.9,705,1.85,753,28.25,2.8
DSSL,3605.1,11.9,29.5,11.75,21.55,446.25,878,1019.37,805,852.8,1005.15
DTIL,11879.85,67.5,259.65,58.95,1.05,972,872.35,1051.62,889,149.7,1003.99
DUCON,187.2,1.2,3.75,1.5,2.9,857.09,850,458.9,799,19.35,632.15
DVL,107.7,238.2,53.05,288.3,2374.92,973,892.73,465.05,804,0.8,1005.25
DWARKESH,2289.2,4888.65,27.95,4264.7,1080.99,761.1,852.82,999.99,807.98,1.95,1948
DYNAMATECH,0.4,19,707.2,13.6,1003,825,46.05,883.82,761,1020.7,1009.6
DYNPRO,46.65,40.8,261.7,25.4,1109.97,925,4.5,850.83,38.4,1036.82,1099.95
E2E,193.65,286.95,34.75,242.1,1004.22,910.11,3.9,803.77,2.55,6.55,1640
EASTSILK,29.6,3.75,1.2,3.95,459.65,911.02,900,759,0.95,542.65,1072.08
EASUNREYRL,88.4,58.6,2.45,57.35,480.05,875.06,850,876.02,830,996,964.34
EBANK,11.5,28.05,2252.05,29.35,1120,905.39,645,900,775,1950,911.22
EBBETF0423,71.25,662.55,1084.22,841.1,950,874.7,16548.45,910,13095.9,950,944.77
EBBETF0425,1.15,226.15,994.91,187.15,875,62.8,195.75,880,139.05,1039,869
EBBETF0430,288.9,1.95,1101.14,1.4,970,6.7,77.5,900,208.55,905,930.62
EBBETF0431,4828.95,1098.39,991.31,3,830.66,4.65,234.95,910.69,65.8,830,1037.5
EBIXFOREX,18.35,1013.53,357.75,2619.44,824,844,66.35,851,191.65,850.15,939
ECLERX,44.4,1125.19,701.1,1077.61,779.19,602.32,239.9,39.8,10.9,943.58,900.94
ECLFINANCE,1023.91,980,955,890.25,20638.7,145.5,1,245.9,25.75,860,230.2
EDELWEISS,1131.86,1060,58.9,792.4,290.5,24.55,36.25,15.8,43.75,16602.35,113.5
EDUCOMP,1017.76,958.92,2.85,985,93.6,220.8,58.15,21.8,7.03,188.4,296.7
EHFLNCD,502,967.2,1009,1050.54,254.4,79,7.85,10.65,7.35,112.25,140.1
EHFLNCD,724.65,55.85,820,940,64.85,35.75,726.05,90.6,601.1,260.05,322.75
EICHERMOT,1010.24,2.75,2202.8,970,303.95,342.63,5.25,130.65,4.3,131.85,26.85
EIDPARRY,960,1021,282.95,1015,21.05,1.95,63.35,11.1,60.05,296,40.05
EIFFL,1154,924.15,92,937.12,24.65,46.7,131.05,194.65,119.95,21.25,14.85
EIH-RE,972,830,15.1,960,14.25,91.75,42.35,78.4,6.95,28.6,135.6
EIHAHOTELS,924,2085.6,237.5,80.05,97.9,67.25,826.1,26.25,42.65,13.65,251.9
EIHOTEL,891,275.7,80.6,3.55,159.8,8.47,750,372.81,859.97,127.9,17.9
EIMCOELECO,1060.11,94,325.55,860.92,16.8,8.43,691.32,1.05,700,217.8,294.7
EKC,1180,228.4,27.85,765.64,239.85,870.75,630,37.9,725.2,16.45,118.3
ELECON,978,75.1,25.5,2092,69.8,7.8,499.95,58.45,368.9,256.55,72.25
ELECTCAST,1002.02,308.55,20.35,286.65,33.15,75.4,15.7,7.9,8.5,83.95,415.03
ELECTHERM,1111,27.1,101.1,89,358.17,144.8,1370.5,7.93,1086.1,42.65,0.65
ELGIEQUIP,974.3,22.6,121.35,251.45,1.05,299.99,903.25,677.15,662.6,447.95,61.5
ELGIRUBCO,1005,21.45,17.3,87.7,43.1,49.55,7,4.8,5.2,0.7,107
EMAMILTD,70,89.9,351.3,321.1,63.5,969,171.05,67.3,155.1,52.05,9.2
EMAMIPAP,2.65,104.25,67.4,29,71.95,938,30.85,142.75,24.05,163,9.22
EMAMIREAL,1473,16.65,42.75,29.9,9,730,0.5,289.2,0.35,89.65,1089.5
EMBASSY,980,361.95,360.78,14.9,905.55,702.04,0.4,51.5,0.35,9.12,5.8
EMCO,897.38,65.65,1.45,111.45,5.9,647.6,67.1,880,8.05,9.11,91.5
EMKAY,2534.65,35.55,57.3,220.6,64.25,457.25,191.05,825.08,50.45,981.5,253.55
EMMBI,346.8,344.31,84.35,17.5,124.85,18.1,0.9,790,132.35,5.05,14.45
EMOFSR1RDP,257.75,1.2,9.78,356.95,324,1402,624.6,710,0.9,70,344
EMOFSR1RGG,89.85,61.45,9.82,73.2,49.1,1040,162.9,738.2,446.85,195.15,109.1
ENDURANCE,331.65,75.15,1152.3,51.9,945,8,181.1,500.8,131.6,11.4,1005.84
ENERGYDEV,48.75,10,5.5,362.14,945,180,42.95,17.75,143.55,332,910
ENGINERSIN,35.85,9.91,64.35,1.85,825,51.55,476.25,1159.15,32.4,107.85,1000
ENIL,22.8,1058.2,152.15,55.1,847,1.1,26.65,713.35,413.5,980.8,839
EQ30,102.6,5.1,330.1,84.05,491.3,0.95,8.5,7.8,14.7,803,885
EQUITAS,133.9,65.05,50.25,9.62,18.3,9.5,0.25,179.95,7.3,433.65,526.95
ERFLNCDI,18.85,144.2,1025.17,9.63,1392.05,81.85,248.25,31.85,0.15,12.45,13.55
ERFLNCDI,440.35,248.45,964.99,1099.2,1134,203.05,44.9,0.4,194.95,1490.9,1528.05
ERFLNCDI,77.15,351.05,967.99,6.8,6.8,1.05,10.15,67.15,41.05,780.1,803.65
ERFLNCDI,45.8,46.8,806,66.85,234,702.3,12.2,188.6,8.65,6.5,6.75
ERFLNCDI,349.16,976.53,827,163.75,56.2,148.2,290.9,0.95,9.45,172.1,181
ERIS,1.2,1035.31,538.2,7.15,0.8,272.05,28.85,668.25,253.1,35.15,38.9
EROSMEDIA,70.15,960.33,20.65,325,0.85,48.35,212.6,157.25,17.85,0.4,0.45
ESABINDIA,73.95,834,1379.25,54.55,131.05,564.45,1939,174.85,203.75,0.35,0.5
ESCORTS,10.44,500.8,1318.45,999,207.9,26.45,425,41.2,1906.05,7.5,10
ESSARSHPNG,10.51,18.55,8.65,1005,1,16.6,3.95,456.3,392.75,65.65,55.75
ESSELPACK,1157,1324.85,242.25,880,741.8,0.75,152.65,27.05,3.25,208.2,271.55
ESTER,6.75,1200.95,73.95,918,155.65,279.6,293.9,9.25,117.95,1.1,1.1
EUROCERA,74.2,7.4,3,790,267.5,51,405.75,0.25,286,688.75,886.05
EUROMULTI,155.5,121.6,2,756.3,47.1,16.5,16.9,244.85,322.55,164.35,197.15
EVEREADY,260.8,1.3,143.45,481.6,601.8,18.1,15.75,48.8,8.6,265.9,318
EVERESTIND,377.19,135.4,201.25,23.05,30.05,17.75,840.7,12.55,20.5,32.3,48.2
EXCEL,70.3,221.1,1.15,1401.75,11.2,355.6,115.65,13.75,733.65,645.3,500.1
EXCELINDUS,34.35,1.1,949.3,1087.6,0.45,29.1,998.15,299.5,126.15,23.6,28.65
EXIDEIND,990,867.3,164.9,10,299.15,285.4,84.8,34,901.85,12.3,23.95
EXPLEOSOL,860.99,159.05,522.6,270.8,53.9,1864.35,131.3,255.1,78.3,0.2,0.2
FACT,840,529,45.05,64.9,16.25,498.05,31.6,2013.5,104.55,234.6,234.45
FAIRCHEM,521.35,45.95,558.75,1.5,17,9.5,74.6,401.65,27.45,85.9,91.35
FCL,21.6,30.2,31.75,1.5,18.85,148.3,114.65,5.75,53.3,18.3,23.85
FCONSUMER,1448.45,7.4,8.6,134.05,413.85,356.9,92.35,155.7,104.75,17.7,22.8
FCSSOFT,1403.85,0.45,0.4,225.3,26.45,388.9,1.75,307.55,76.55,433.65,483.45
FDC,7.95,345.05,356.15,1.3,0.65,28,1344.25,365.2,1.25,34.95,39.5
FEDERALBNK,127.2,50.45,48.6,846.3,269.75,934.05,26.6,17.9,1178.45,324.8,397.35
FEL,2.7,9.3,12.9,164.05,2102.5,121.95,24.45,869.35,19.5,2131.55,2338.85
FELDVR,1.65,12,14.75,481.15,460.45,1022.6,0.45,127,19,543.1,560.55
FELIX,175.05,497.6,37.75,46.85,6.7,7.25,163.95,1009.75,0.25,5.6,7.1
FIEMIND,263.6,26.05,563.95,529.85,115,128.85,169.5,85.1,189.15,348.5,414.15
FIFMPS5DQP,1.4,276.95,10,31.1,401.9,175.25,20.95,133.95,164.4,504,611.6
FILATEX,839.85,2652.75,24.9,12,361.8,35.7,23.9,35.25,17.75,515.85,607.2
FINCABLES,184.85,522.45,275.7,0.45,24.85,86.55,6.3,82.5,21.6,19.75,25.3
FINEORG,483.55,8.9,2672.7,311.15,21.5,141.6,1435.75,121.45,5.2,32.7,1260.25
FINPIPE,51.25,76.1,502.05,55.3,887.65,102.15,37.05,95.7,1074.25,1069.8,153.45
FLEXITUFF,43.2,479.75,10.8,21.1,138,3.8,0.35,1.4,48.95,154.05,1408.45
FLFL,8.2,258.45,89.25,22.5,1043.75,1479.75,13.4,1401.15,0.25,1270.6,6.3
FLUOROCHEM,0.4,15.65,489.55,567.15,5.9,33.65,4.65,23.35,8.55,303.55,329.75
FMGOETZE,343.45,1027.75,426.8,28.05,110.2,34.05,75.85,20.95,3.75,397.3,450.45
FMNL,62.8,125.6,16,277.2,150.2,1.05,49.15,0.4,94.7,40,43.9
FORCEMOT,10.35,1162.9,1057.4,2478.8,48.85,194,62.95,180.85,44.15,94.3,112.95
FORTIS,13.7,71.15,135.3,505.35,85.25,222.45,26.95,197,49.75,155.95,154.15
FOSECOIND,31,86.1,1249,10.4,166.8,30.1,3.6,24.55,24.25,104.4,120.45
FRETAIL,549.4,70,90.1,152.8,96.65,32.8,14.55,24.5,3.15,1.85,2.3
FSC,32.65,94.2,104.8,511.2,2.9,14.15,19.95,5.85,13.95,1613.5,1621.5
FSL,308.8,115.35,72.75,383.1,1620.65,1368.3,383.75,1277.8,18.2,24,28.75
GABRIEL,2574.9,84.75,105.15,27.95,29.95,44.2,196.55,38.45,475,20.1,26.8
GAEL,630.85,3.15,217.65,20.8,26.95,0.5,59.15,0.25,205.8,0.3,0.35
GAIL,13.95,1643.7,86.8,1080.4,0.65,15.4,73.05,14.1,71.9,229.55,270.25
GAL,94.25,32.45,3,132.8,188.6,4.8,1.75,7.7,82.1,317.35,285.9
GALAXYSURF,574.4,27.7,1895.9,1248.5,234.85,83.75,106.2,91.15,1.45,28.85,36.6
GALLANTT,330.65,0.6,31.2,10.5,23.15,69.4,65.2,51.25,89.15,32.55,39.4
GALLISPAT,16.95,202.05,27.4,162.35,29.7,68.65,138.5,49.1,59.4,0.4,0.65
GAMMNINFRA,1161.8,268.45,0.6,158.9,12,43.7,20.2,32.45,105.2,8.65,12.55
GANDHITUBE,150.9,25,210.05,61.8,1672.85,6.2,4822.2,3.8,20,1573.4,1493.35
GANECOS,1167.5,40.15,257.4,104.4,42.95,23.85,6.65,15.95,5470.1,66.7,68.75
GANESHHOUC,82.65,8.4,27.6,184.7,0.4,36.75,55.6,21.8,6.1,0.3,0.4
GANGAFORGE,102.25,1884.15,19.7,95.65,14.85,449.05,1.7,446.5,49.9,21.7,54.2
GANGESSECU,79.1,65.6,43.95,2.8,4.85,212.25,436.15,234.85,461,116.65,139.3
GARDENSILK,106.75,0.4,10.25,1745.3,82.15,75.2,1369.35,85.3,1257.4,70,86.5
GARFIBRES,120.95,18.25,2132.75,31.9,15.5,101.9,355.05,85.7,205.85,39.5,38.5
GATI,102.65,91.45,53.1,28.4,66.35,3.35,1.15,1.85,1.4,54.65,58.45
GAYAHWS,3.3,71.95,0.35,0.7,88.45,137.3,97.55,105,54.25,4.7,6.55
GAYAPROJ,1939.8,64.75,17.55,221.05,28.75,81.9,50.45,72.8,35.85,24.55,27.5
GDL,34.65,45.5,91.4,262.45,4.9,149.1,2.95,140,2.8,24.95,28.4
GEECEE,30.85,4.85,66.4,30.35,21.9,30.4,93.8,22,84.45,703.35,690.1
GEEKAYWIRE,0.6,27.1,83,16.6,34.8,4982.6,399.75,5332.85,309.1,241.75,304.3
GENESYS,232.7,39.45,60.05,36.65,485.4,12.9,37.9,6.9,31.55,120.5,166.85
GENUSPAPER,327,204.95,5,10.5,226.35,72.9,3808.05,59,2512.8,137.8,140.8
GENUSPOWER,30.7,224.7,27.05,1803.55,83.4,480,18.95,484.45,16.35,171.2,185.85
GEOJITFSL,20.65,81.1,38.9,45.1,79.5,1481.6,195.7,1444.25,141.1,95.75,152.95
GEPIL,46.4,79.35,426.95,0.45,2.75,450.3,130.65,337.05,114.7,163.7,250
GESHIP,9.8,156.85,234.9,15.75,138.3,143,184.15,1.25,124.2,26,31
GET&D,2227.05,98.5,90.1,9.2,88.3,57.3,142.7,52.4,127,5796.2,6246.85
GFLLIMITED,89.05,117.85,95.55,89.75,143.85,33.85,987.4,4,940.5,8.35,8.6
GFSTEELS,0.4,31.35,2.7,75.8,28.85,5.5,28,92.5,19.6,65.8,79.95
