SYMBOL,27-Nov-20,30-Oct-20,30-Sep-20,31-Aug-20,31-Jul-20,30-Jun-20,29-May-20,30-Apr-20,31-Mar-20,28-Feb-20,31-Jan-20
AKASH,1536.1,249.85,233.2,1484.6,239.65,411.45,494,85,35.35,5.65,2046.5
AKG,100.65,61.6,46.85,88.3,4.95,5.45,4.85,217.6,176.1,2350.55,15.3
AKSHARCHEM,209.25,204.45,225.95,36.25,1898.95,81,51.2,5.05,25.1,16.55,476.2
AKSHOPTFBR,49.5,5.65,5.6,215,17.7,251.15,215.45,2085.85,2325.85,404.1,17.55
AKZOINDIA,211.8,1983.35,2165.2,38,409.1,45.65,42.8,17.25,1203.3,11.3,1.75
ALANKIT,6.65,15.5,17.7,236.55,4.75,2368.3,2262.9,464.6,58.45,0.8,57.55
ALBERTDAVD,2153,386.5,441.25,7.55,79.2,2107.25,2003.65,2.2,115.5,48.1,387.15
ALCHEM,15.85,4.55,5.15,2100.1,248.15,79.2,68.55,50.4,3.95,283.85,50
ALEMBICLTD,461.2,92.45,105,17.95,43.35,187.05,179.1,229.05,13.85,43,2397.65
ALICON,5.15,306.3,328.05,425.15,2662.1,11.7,17.65,46.45,124.85,2625.5,1312.75
ALKALI,106.15,48.05,46.15,7.05,2249.2,50.6,18.45,2599.4,0.75,1511.15,112.7
ALKEM,321.35,2634.3,2777.95,85.15,93.65,21.8,138.3,1790,478.05,108.65,289.55
ALKYLAMINE,48,2967.65,3208.95,321.7,192.55,186.6,0.75,75.2,1230.45,257.05,16.25
ALLCARGO,2841.65,117.9,124.35,47.75,10.2,1.7,614.6,179.35,527.95,16.55,18.7
ALLSEC,4015,250.1,241.95,2722.7,34.8,650.4,1245.85,10.25,155.7,12.5,194.4
ALMONDZ,126.35,13.25,11.25,3103.95,25.1,1437.85,645.35,7.25,10.55,16.55,1.3
ALOKINDS,245.5,21.85,19.55,116.15,166.15,679.85,191.55,20.55,14.5,190.85,767.1
ALPA,16,39.65,30.65,267.4,1.15,193.6,16.85,172,7.35,0.8,1510.45
ALPHAGEO,21.95,148.2,156.15,12.75,709.2,15.55,15,0.85,329.95,637.7,841.1
ALPSINDUS,35.55,1.05,1.35,31.7,1482.5,19.7,339.6,570.85,19.8,1371.2,204.5
AMARAJABAT,219.4,766.05,764.15,28.15,656.55,9.8,15,1071.95,1.6,785.95,17.4
AMBER,0.95,2180.4,2038.4,171.75,220.1,361,3.8,694,141.6,205.05,22.2
AMBIKCO,946.8,699,661.7,1.35,13.8,22.65,176.1,171.65,177.05,15.5,455.5
AMBUJACEM,2399.6,259.7,217,727.95,16.85,10.15,216.7,13.25,6.55,19.45,36.25
AMDIND,721.5,15.8,16.75,53,430.2,242.65,9.9,15.3,0.4,461.95,16.05
AMJLAND,261.05,21.25,19.15,1733.5,21.4,259.45,0.35,8.3,3.55,27.85,2.15
AMJUMBO,15.4,12.2,10.6,683.85,5.6,13.55,5.1,390.65,2.8,13.45,319.75
AMRUTANJAN,21.65,418.6,423,210.55,218.9,0.8,3.05,16.85,325.95,1.85,291.35
ANANTRAJ,12,18.1,31,17.1,329.75,4.6,295.1,3.1,288.2,259.15,9.9
ANDHRACEMT,504.7,4.8,4.9,18,13.3,4.25,309.65,189.7,94.35,255.15,0.4
ANDHRAPAP,26.4,185.1,192.95,448.15,0.8,383.1,132.45,254.35,77.35,7.8,5.5
ANDHRSUGAR,4.85,281.1,299.3,30.75,3.95,321.85,108.6,8.7,168.55,0.5,5.8
ANIKINDS,197.5,353.35,12.7,5.3,3.55,137.3,187.15,0.35,1246.65,5.95,0.65
ANKITMETAL,294.3,11.15,0.8,213.1,461.4,121.2,1517.8,5.85,534.25,4.55,603.4
ANSALAPI,357.8,0.9,3.95,301.55,302.35,258.6,871.15,3.3,45.15,0.65,388.95
ANSALHSG,11.7,4.1,4.15,14.25,142.4,1552.9,84,318.15,1139.05,511.95,155.2
ANUP,1,3.85,641.7,1.1,113.2,912.8,1356.95,311.75,244.85,353.6,154.6
APARINDS,4.45,600.5,292.8,4.45,226.9,104.15,300.25,110,79.4,136.05,347.6
APCL,4.1,287.55,188.75,4.75,1841,1349.85,97.1,104.2,392,103.9,1967.25
APCOTEXIND,622.9,206.2,142.95,553.9,985.05,316.1,433.9,223.75,83.5,271.35,630.7
APEX,349,150.6,244.9,321.45,123.1,108,98.15,1428.75,15.4,1943.5,73.8
APLAPOLLO,214.05,250.15,2916.9,144.25,1674.6,456.6,18.7,743.5,8.8,629.95,1660.2
APLLTD,172.35,3144.3,938.05,156.05,335.5,99.7,10.75,70.85,0.85,73.35,397.75
APOLLO,290.15,964.6,114.45,258.25,108.25,23.35,1.65,1394.35,40,1735.8,166.5
APOLLOHOSP,3378.9,105.15,2148.05,2403.1,511.2,13.15,10.3,321.45,11.1,420.15,743
APOLLOPIPE,998.1,2119.45,390.8,942.1,109.6,3.5,68.4,96.3,21,142.8,166.05
APOLLOTYRE,117.7,458.25,130.85,121,26.65,11.7,14.15,495,414.5,525.9,31.1
APOLSINHOT,2347.9,139.9,519,1634.55,11.3,66.55,17.05,103.6,18.8,117.6,17.3
APTECHT,656.55,613.55,117.35,389.05,2.25,15.9,294.75,22,33.6,19.65,1.95
ARCHIDPLY,184.45,115.05,24.9,123.55,11.05,27.5,21.05,11.55,6.8,13.05,10.85
ARCHIES,602.6,23.4,11.6,582.4,59.95,445.1,32.75,1.6,10,1.25,71.75
ARCOTECH,121.45,11.9,2,122.9,14.5,25.75,8.75,9.5,137,17.1,23.7
ARENTERP,27.6,2,11.15,27.55,20.9,44.2,11.5,58.05,19.65,54.95,31.1
ARIES,14.3,10.1,77.15,12.3,455.3,11.8,156.75,14.2,146.55,18.45,722.9
ARIHANT,1.95,78.5,15.9,2.7,23.6,16.25,25.2,17.9,67.55,24.45,37.9
ARIHANTSUP,10.5,15.3,19.75,10.5,41.75,180,125.4,393.7,156.15,923.95,49.5
ARMANFIN,86.2,20,525.6,76.05,9.25,32.4,66.05,24.2,73.5,28.4,9.5
AROGRANITE,16,540.5,25.55,18.7,12.85,62.5,160.4,36.6,13,37.5,17.2
ARROWGREEN,24.7,30.75,50.1,25.55,171.1,167.5,101.6,13.05,157.9,13.6,20.25
ARSHIYA,632.1,46.6,14.05,585,28.7,74.05,14,13.6,20.45,14.15,288
ARSSINFRA,37.95,14.2,13.6,27.65,122.6,176.65,219.25,159.85,49.8,211.2,42.6
ARTEMISMED,46.5,12.45,153.8,49.4,78.45,148.05,30.15,24.15,3.2,37.3,392.2
ARVIND,15.25,164.35,33.9,12.4,171.85,21,44.5,138.95,41.35,345.75,94.2
ARVINDFASN,17,33.8,123.15,15.4,209.45,254.6,4.6,69.5,43.05,83.9,241.2
ARVSMART,163.25,123.45,89.7,161.45,19,44.1,49.2,170,68.75,249.2,135.2
ASAHIINDIA,40.55,89.2,208.75,70,224.5,59.2,42.45,111.55,1666.5,134.75,31.65
ASAHISONG,131.35,224.25,212.9,33.5,36.85,6.5,47.25,16.15,161.85,19.8,32.5
ASAL,92.2,217.3,21.2,147.75,59.3,61.6,1683.1,169.6,86.5,217.9,34.05
ASALCBR,254.8,21.6,257.15,93.9,5.05,46.95,120.6,26.15,388.3,32.35,111.4
ASHAPURMIN,217.3,242.15,79.85,207.85,50.55,53,103.8,42.3,95.15,102.05,7.4
ASHIANA,25.45,79.05,73.05,204.9,48.65,1687.45,737.3,4.25,936.85,5.85,114.3
ASHIMASYN,282.2,79.45,7.15,21.35,54.15,210.2,89.75,64,51.9,90.35,81.95
ASHOKA,44,7.2,64.45,255.05,1715.5,6.85,877.6,52.35,2403.85,69.9,87.45
ASHOKLEY,78.5,60.7,74.4,32,241.65,123.15,65.55,66.9,26.95,68.05,1795.65
ASIANHOTNR,92.15,78.95,55,63.85,116.65,789.55,3053,1758.7,382.3,1797.95,213.4
ASIANPAINT,11.05,51.25,1986.4,81.1,939,123.85,28.1,167.75,2.7,247.85,154.95
ASIANTILES,77.6,2211.5,291.75,6.15,132.2,954.55,488,109.5,29.5,130.35,472.7
ASLIND,92.15,283.7,5.25,68.15,964.5,105.75,6.25,425.2,0.1,471.45,164.95
ASPINWALL,54,7.55,126.9,67.65,106.3,3547.7,48.5,98.75,3988.45,162.4,1223.35
ASTEC,2215.3,119,1084.65,62.45,3336.95,40.05,4512.55,940.1,139.35,1144.4,93.95
ASTERDM,302.95,1142.55,132.55,1899.1,38.35,520.05,167.8,64.65,505.35,87.5,2672.5
ASTRAL,123.75,134.3,1224.8,256.55,593.9,9.65,391.6,3036.45,40.5,2578.2,40.2
ASTRAMICRO,949.1,1123.85,116.85,144.45,9.25,40.95,44,28.85,413.15,35.45,696.4
ASTRAZEN,167.45,107.5,4303.75,1111.6,46.55,4550.85,745.65,477.45,26.35,640.6,5.6
ASTRON,1469.45,4300.2,47.45,130.35,5053.95,169.3,23.55,5.8,384.05,5,49.05
ATFL,112.2,46.4,690.1,1122.05,155.8,543.5,494.15,36.3,9.75,43.85,4913.5
ATLANTA,4538.9,714.05,6.7,124.8,740.45,53,14.3,4852.45,11.45,5143.65,252.15
ATLASCYCLE,44.85,6.95,44.9,3549.75,46.35,771.7,17.05,169.25,118.15,225.4,1064.35
ATUL,722.25,40.85,6112.3,42.6,874.6,34.6,140.85,544.25,294.25,1162.9,58.55
ATULAUTO,7.35,6008.6,169.55,704.8,28,564.45,414.1,46,23.65,39.95,481.4
AUBANK,37.6,156.7,654.35,8.5,517.9,19.9,28,625.85,379,505.5,39.45
AURIONPRO,6310.35,775.35,67.4,47.95,29.65,16.8,39.05,27.75,28.15,35,843.65
AUROPHARMA,170.5,74.45,796.5,0.2,18.9,190.1,384.95,506.7,3852.8,688.15,24.15
AUSOMENT,839.05,772.65,51.6,5780.45,167.15,504.5,29.95,16.2,1056,19.2,24.5
AUTOAXLES,73.85,53.45,717.05,177.35,446.7,51,4075,17.25,15.75,18.2,294.95
AUTOIND,868.55,710,32.45,668,41,45.25,1077.7,142.75,13.3,218.85,662.1
AUTOLITIND,55.3,27.5,19.55,64.8,37.75,39.55,15.05,432.65,1.8,462.7,63.75
AVADHSUGAR,953.85,18.45,180.45,808.9,431.65,406.65,1.65,31.75,2022.35,35,34.3
AVANTIFEED,29.65,182.55,497.35,35.55,53.35,51.15,2710.5,444.9,132.45,35.8,729.3
AVG,21,481.8,61.25,671.75,46.75,4244.25,132.45,35.75,268.45,697.3,64.85
AVTNPL,199.6,43.55,45.35,37,114.27,1163,363.95,4271.7,4591.2,52.8,3563.2
AXISBANK,521.6,492.5,424.65,22.3,22,23.5,4404.9,1149,2.65,3722.5,1232.3
AXISCADES,55.5,43.35,49.5,185.3,55.35,2.85,4.25,15.75,1798.55,1256,34.6
AXISGOLD,46.5,44.25,44,518.5,2.25,2826.05,2000.6,1.55,2215.8,29.2,1.85
AXISNIFTY,601.6,120.93,116.5,48.4,3004.95,146.15,1953.65,2623.3,37.75,1.55,3180.05
AYMSYNTEX,294.69,27.05,23.15,43.5,175.55,392.8,58.6,144.95,251.6,2890,224.15
BAFNAPH,50.25,115.4,41.75,496.75,424.65,5845.15,403.35,340.4,74,192.3,373.55
BAGFILMS,42.56,2.5,2.65,66.8,6205.9,7.35,109.75,5104.35,7.8,403.3,9441.4
BAJAJ-AUTO,134.24,2886.9,2881.1,45.05,5.6,2543,11.3,5.6,791.65,9050.75,6.35
BAJAJCON,44.4,186.5,182.8,117.58,2656.1,2831,1078.9,2037.8,0.35,5.1,3454.3
BAJAJELEC,133.9,487.45,503.2,26.9,3251.3,74.75,0.5,2318.1,79.45,3386.65,4365.9
BAJAJFINSV,2.5,5573.5,5852.35,23.5,87.6,493.4,101.05,61.5,31.9,4465.85,54.45
BAJAJHIND,3173.55,4.65,5,2.7,570.45,123.9,35.75,409.9,104.05,50.1,387.3
BAJAJHLDNG,204.2,2306.7,2413.95,2967,246.75,19.1,99.75,73,29.45,408.9,81.95
BAJFINANCE,572.55,3309,3278.6,172,13.7,1261.1,33.35,13.2,867.7,102.1,18
BALAJITELE,8758.8,62.6,67.85,498,1322.05,1.45,851.15,934.8,65.05,15.55,1069.85
BALAMINES,5.6,842.95,807.4,6190.35,2.4,109.7,65.45,0.45,203.75,1096.4,0.65
BALAXI,3063.75,831.4,706.3,5.75,110.3,43.25,218.15,100.65,11.6,0.45,120.25
